image_path,Person or creature?_gt_norm,Person or creature?_pred_norm
/Users/precioux/Desktop/Creativity/FacesInThings/images/000025668.jpg,Human-Adult,Human-Old
/Users/precioux/Desktop/Creativity/FacesInThings/images/000014815.jpg,Animal,Other
/Users/precioux/Desktop/Creativity/FacesInThings/images/000025426.jpg,Other,Human-Old
/Users/precioux/Desktop/Creativity/FacesInThings/images/000005736.jpg,Human-Adult,Other
/Users/precioux/Desktop/Creativity/FacesInThings/images/000015457.jpg,Other,Cartoon
/Users/precioux/Desktop/Creativity/FacesInThings/images/000000575.jpg,Robot,Other
/Users/precioux/Desktop/Creativity/FacesInThings/images/000021730.jpg,Alien,Other
/Users/precioux/Desktop/Creativity/FacesInThings/images/000021518.jpg,Cartoon,Other
/Users/precioux/Desktop/Creativity/FacesInThings/images/000007868.jpg,Alien,Animal
/Users/precioux/Desktop/Creativity/FacesInThings/images/000000102.jpg,Alien,Other
/Users/precioux/Desktop/Creativity/FacesInThings/images/000003570.jpg,Human-Adult,Other
/Users/precioux/Desktop/Creativity/FacesInThings/images/000025618.jpg,Robot,Other
/Users/precioux/Desktop/Creativity/FacesInThings/images/000026944.jpg,Other,Animal
/Users/precioux/Desktop/Creativity/FacesInThings/images/000024238.jpg,Other,Animal
/Users/precioux/Desktop/Creativity/FacesInThings/images/000002520.jpg,Human-Young,Cartoon
/Users/precioux/Desktop/Creativity/FacesInThings/images/000007550.jpg,Robot,Other
/Users/precioux/Desktop/Creativity/FacesInThings/images/000023760.jpg,Cartoon,Other
/Users/precioux/Desktop/Creativity/FacesInThings/images/000022526.jpg,Cartoon,Other
/Users/precioux/Desktop/Creativity/FacesInThings/images/000006014.jpg,Human-Adult,Cartoon
/Users/precioux/Desktop/Creativity/FacesInThings/images/000024917.jpg,Alien,Other
/Users/precioux/Desktop/Creativity/FacesInThings/images/000006605.jpg,Animal,Other
/Users/precioux/Desktop/Creativity/FacesInThings/images/000018968.jpg,Human-Adult,Other
/Users/precioux/Desktop/Creativity/FacesInThings/images/000013231.jpg,Human-Adult,Cartoon
/Users/precioux/Desktop/Creativity/FacesInThings/images/000010829.jpg,Alien,Other
/Users/precioux/Desktop/Creativity/FacesInThings/images/000007486.jpg,Human-Young,Cartoon
/Users/precioux/Desktop/Creativity/FacesInThings/images/000027945.jpg,Robot,Other
/Users/precioux/Desktop/Creativity/FacesInThings/images/000000350.jpg,Robot,Other
/Users/precioux/Desktop/Creativity/FacesInThings/images/000006512.jpg,Human-Adult,Other
/Users/precioux/Desktop/Creativity/FacesInThings/images/000001290.jpg,Human-Young,Cartoon
/Users/precioux/Desktop/Creativity/FacesInThings/images/000004766.jpg,Cartoon,Animal
/Users/precioux/Desktop/Creativity/FacesInThings/images/000011770.jpg,Human-Adult,Human-Old
/Users/precioux/Desktop/Creativity/FacesInThings/images/000020006.jpg,Human-Old,Other
/Users/precioux/Desktop/Creativity/FacesInThings/images/000018753.jpg,Other,Cartoon
/Users/precioux/Desktop/Creativity/FacesInThings/images/000025846.jpg,Robot,Cartoon
/Users/precioux/Desktop/Creativity/FacesInThings/images/000022435.jpg,Animal,Cartoon
/Users/precioux/Desktop/Creativity/FacesInThings/images/000015039.jpg,Robot,Other
/Users/precioux/Desktop/Creativity/FacesInThings/images/000021860.jpg,Human-Adult,Other
/Users/precioux/Desktop/Creativity/FacesInThings/images/000026356.jpg,Alien,Other
/Users/precioux/Desktop/Creativity/FacesInThings/images/000011413.jpg,Robot,Cartoon
/Users/precioux/Desktop/Creativity/FacesInThings/images/000010972.jpg,Animal,Cartoon
/Users/precioux/Desktop/Creativity/FacesInThings/images/000002210.jpg,Cartoon,Other
/Users/precioux/Desktop/Creativity/FacesInThings/images/000004940.jpg,Alien,Other
/Users/precioux/Desktop/Creativity/FacesInThings/images/000003261.jpg,Other,Cartoon
/Users/precioux/Desktop/Creativity/FacesInThings/images/000019731.jpg,Robot,Other
/Users/precioux/Desktop/Creativity/FacesInThings/images/000003440.jpg,Human-Adult,Other
/Users/precioux/Desktop/Creativity/FacesInThings/images/000003904.jpg,Animal,Other
/Users/precioux/Desktop/Creativity/FacesInThings/images/000001013.jpg,Animal,Other
/Users/precioux/Desktop/Creativity/FacesInThings/images/000027632.jpg,Human-Old,Other
/Users/precioux/Desktop/Creativity/FacesInThings/images/000017441.jpg,Human-Old,Other
/Users/precioux/Desktop/Creativity/FacesInThings/images/000014657.jpg,Alien,Other
