image_path,Hard to spot?_gt_norm,Hard to spot?_pred_norm
/mnt/mahdipou/test/FacesInThings/images/000007038.jpg,Hard,Medium
/mnt/mahdipou/test/FacesInThings/images/000018844.jpg,Hard,Medium
/mnt/mahdipou/test/FacesInThings/images/000026283.jpg,Easy,Medium
/mnt/mahdipou/test/FacesInThings/images/000020601.jpg,Easy,Medium
/mnt/mahdipou/test/FacesInThings/images/000020510.jpg,Easy,Medium
/mnt/mahdipou/test/FacesInThings/images/000001944.jpg,Easy,Medium
/mnt/mahdipou/test/FacesInThings/images/000014815.jpg,Easy,Medium
/mnt/mahdipou/test/FacesInThings/images/000025426.jpg,Easy,Medium
/mnt/mahdipou/test/FacesInThings/images/000005736.jpg,Easy,Medium
/mnt/mahdipou/test/FacesInThings/images/000004308.jpg,Easy,Medium
/mnt/mahdipou/test/FacesInThings/images/000015457.jpg,Easy,Medium
/mnt/mahdipou/test/FacesInThings/images/000017095.jpg,Easy,Medium
/mnt/mahdipou/test/FacesInThings/images/000007868.jpg,Easy,Medium
/mnt/mahdipou/test/FacesInThings/images/000000102.jpg,Hard,Medium
/mnt/mahdipou/test/FacesInThings/images/000007864.jpg,Easy,Medium
/mnt/mahdipou/test/FacesInThings/images/000005917.jpg,Easy,Medium
/mnt/mahdipou/test/FacesInThings/images/000003570.jpg,Easy,Medium
/mnt/mahdipou/test/FacesInThings/images/000002615.jpg,Easy,Medium
/mnt/mahdipou/test/FacesInThings/images/000002520.jpg,Easy,Medium
/mnt/mahdipou/test/FacesInThings/images/000006604.jpg,Easy,Medium
/mnt/mahdipou/test/FacesInThings/images/000023760.jpg,Easy,Medium
/mnt/mahdipou/test/FacesInThings/images/000022526.jpg,Easy,Medium
/mnt/mahdipou/test/FacesInThings/images/000014465.jpg,Easy,Medium
/mnt/mahdipou/test/FacesInThings/images/000006605.jpg,Hard,Medium
/mnt/mahdipou/test/FacesInThings/images/000027359.jpg,Easy,Medium
/mnt/mahdipou/test/FacesInThings/images/000024110.jpg,Easy,Medium
/mnt/mahdipou/test/FacesInThings/images/000018968.jpg,Easy,Medium
/mnt/mahdipou/test/FacesInThings/images/000013231.jpg,Easy,Medium
/mnt/mahdipou/test/FacesInThings/images/000010829.jpg,Hard,Medium
/mnt/mahdipou/test/FacesInThings/images/000000350.jpg,Easy,Medium
/mnt/mahdipou/test/FacesInThings/images/000012705.jpg,Hard,Medium
/mnt/mahdipou/test/FacesInThings/images/000026560.jpg,Hard,Medium
/mnt/mahdipou/test/FacesInThings/images/000001290.jpg,Easy,Medium
/mnt/mahdipou/test/FacesInThings/images/000011770.jpg,Easy,Medium
/mnt/mahdipou/test/FacesInThings/images/000020006.jpg,Easy,Medium
/mnt/mahdipou/test/FacesInThings/images/000018753.jpg,Easy,Medium
/mnt/mahdipou/test/FacesInThings/images/000021487.jpg,Hard,Medium
/mnt/mahdipou/test/FacesInThings/images/000022435.jpg,Easy,Medium
/mnt/mahdipou/test/FacesInThings/images/000021860.jpg,Easy,Medium
/mnt/mahdipou/test/FacesInThings/images/000005328.jpg,Easy,Medium
/mnt/mahdipou/test/FacesInThings/images/000002210.jpg,Easy,Medium
/mnt/mahdipou/test/FacesInThings/images/000004940.jpg,Hard,Medium
/mnt/mahdipou/test/FacesInThings/images/000003261.jpg,Easy,Medium
/mnt/mahdipou/test/FacesInThings/images/000016692.jpg,Easy,Medium
/mnt/mahdipou/test/FacesInThings/images/000010142.jpg,Easy,Medium
/mnt/mahdipou/test/FacesInThings/images/000003440.jpg,Easy,Medium
/mnt/mahdipou/test/FacesInThings/images/000001013.jpg,Easy,Medium
/mnt/mahdipou/test/FacesInThings/images/000027632.jpg,Hard,Medium
/mnt/mahdipou/test/FacesInThings/images/000017441.jpg,Hard,Medium
/mnt/mahdipou/test/FacesInThings/images/000014657.jpg,Easy,Medium
