image_path,Gender?_gt_norm,Gender?_pred_norm
/Users/precioux/Desktop/Creativity/FacesInThings/images/000025668.jpg,Neutral,Male
/Users/precioux/Desktop/Creativity/FacesInThings/images/000001944.jpg,Female,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000025426.jpg,Neutral,Male
/Users/precioux/Desktop/Creativity/FacesInThings/images/000005736.jpg,Male,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000005917.jpg,Male,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000003570.jpg,Female,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000002520.jpg,Female,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000006604.jpg,Female,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000014465.jpg,Neutral,Male
/Users/precioux/Desktop/Creativity/FacesInThings/images/000018968.jpg,Male,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000013231.jpg,Male,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000006512.jpg,Male,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000015365.jpg,Male,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000021860.jpg,Female,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000002210.jpg,Male,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000003440.jpg,Male,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000027632.jpg,Male,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000017441.jpg,Male,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000027867.jpg,Male,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000003891.jpg,Male,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000005101.jpg,Neutral,Male
/Users/precioux/Desktop/Creativity/FacesInThings/images/000024331.jpg,Female,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000017883.jpg,Male,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000001018.jpg,Male,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000024179.jpg,Male,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000003817.jpg,Male,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000023474.jpg,Male,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000025167.jpg,Male,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000000080.jpg,Male,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000012086.jpg,Male,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000004169.jpg,Female,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000010837.jpg,Male,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000009680.jpg,Male,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000012716.jpg,Male,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000016019.jpg,Male,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000006187.jpg,Male,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000011777.jpg,Male,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000003276.jpg,Male,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000006691.jpg,Male,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000010693.jpg,Male,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000024159.jpg,Male,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000002531.jpg,Male,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000018239.jpg,Male,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000001331.jpg,Female,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000020736.jpg,Male,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000026814.jpg,Male,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000023955.jpg,Male,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000028180.jpg,Male,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000023457.jpg,Male,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000016055.jpg,Male,Neutral
