image_path,Emotion?_gt_norm,Emotion?_pred_norm
/Users/precioux/Desktop/Creativity/FacesInThings/images/000026283.jpg,Neutral,Other
/Users/precioux/Desktop/Creativity/FacesInThings/images/000020510.jpg,Happy,Other
/Users/precioux/Desktop/Creativity/FacesInThings/images/000004308.jpg,Neutral,Happy
/Users/precioux/Desktop/Creativity/FacesInThings/images/000000575.jpg,Surprised,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000006307.jpg,Neutral,Angry
/Users/precioux/Desktop/Creativity/FacesInThings/images/000007864.jpg,Sad,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000025618.jpg,Happy,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000026944.jpg,Angry,Other
/Users/precioux/Desktop/Creativity/FacesInThings/images/000002520.jpg,Happy,Other
/Users/precioux/Desktop/Creativity/FacesInThings/images/000006604.jpg,Happy,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000006014.jpg,Sad,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000024917.jpg,Surprised,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000013231.jpg,Surprised,Other
/Users/precioux/Desktop/Creativity/FacesInThings/images/000010829.jpg,Sad,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000000350.jpg,Happy,Sad
/Users/precioux/Desktop/Creativity/FacesInThings/images/000006512.jpg,Happy,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000015365.jpg,Scared,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000022435.jpg,Scared,Other
/Users/precioux/Desktop/Creativity/FacesInThings/images/000015039.jpg,Surprised,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000003261.jpg,Happy,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000010142.jpg,Happy,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000003904.jpg,Scared,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000001013.jpg,Happy,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000027632.jpg,Neutral,Sad
/Users/precioux/Desktop/Creativity/FacesInThings/images/000015687.jpg,Neutral,Other
/Users/precioux/Desktop/Creativity/FacesInThings/images/000011039.jpg,Neutral,Angry
/Users/precioux/Desktop/Creativity/FacesInThings/images/000027867.jpg,Neutral,Other
/Users/precioux/Desktop/Creativity/FacesInThings/images/000008951.jpg,Happy,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000026267.jpg,Scared,Surprised
/Users/precioux/Desktop/Creativity/FacesInThings/images/000022212.jpg,Happy,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000005101.jpg,Sad,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000005113.jpg,Angry,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000015479.jpg,Neutral,Happy
/Users/precioux/Desktop/Creativity/FacesInThings/images/000008581.jpg,Happy,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000016965.jpg,Sad,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000025247.jpg,Surprised,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000017883.jpg,Angry,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000022053.jpg,Neutral,Happy
/Users/precioux/Desktop/Creativity/FacesInThings/images/000011363.jpg,Happy,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000023833.jpg,Neutral,Happy
/Users/precioux/Desktop/Creativity/FacesInThings/images/000005921.jpg,Neutral,Other
/Users/precioux/Desktop/Creativity/FacesInThings/images/000005246.jpg,Scared,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000024179.jpg,Scared,Other
/Users/precioux/Desktop/Creativity/FacesInThings/images/000017705.jpg,Neutral,Happy
/Users/precioux/Desktop/Creativity/FacesInThings/images/000003771.jpg,Neutral,Happy
/Users/precioux/Desktop/Creativity/FacesInThings/images/000003817.jpg,Neutral,Sad
/Users/precioux/Desktop/Creativity/FacesInThings/images/000010506.jpg,Happy,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000016370.jpg,Happy,Other
/Users/precioux/Desktop/Creativity/FacesInThings/images/000009249.jpg,Happy,Neutral
/Users/precioux/Desktop/Creativity/FacesInThings/images/000010837.jpg,Sad,Other
