image_path,Hard to spot?_gt_norm,Hard to spot?_pred_norm
/mnt/mahdipou/test/FacesInThings/images/000000080.jpg,Easy,Medium
/mnt/mahdipou/test/FacesInThings/images/000000752.jpg,Easy,Medium
/mnt/mahdipou/test/FacesInThings/images/000000365.jpg,Easy,Medium
/mnt/mahdipou/test/FacesInThings/images/000000052.jpg,Easy,Medium
/mnt/mahdipou/test/FacesInThings/images/000000754.jpg,Easy,Medium
/mnt/mahdipou/test/FacesInThings/images/000000825.jpg,Easy,Medium
/mnt/mahdipou/test/FacesInThings/images/000000027.jpg,Easy,Hard
/mnt/mahdipou/test/FacesInThings/images/000000081.jpg,Easy,Hard
/mnt/mahdipou/test/FacesInThings/images/000000098.jpg,Easy,Hard
/mnt/mahdipou/test/FacesInThings/images/000000068.jpg,Easy,Medium
/mnt/mahdipou/test/FacesInThings/images/000000552.jpg,Easy,Medium
/mnt/mahdipou/test/FacesInThings/images/000000693.jpg,Easy,Medium
/mnt/mahdipou/test/FacesInThings/images/000000140.jpg,Easy,Medium
/mnt/mahdipou/test/FacesInThings/images/000000492.jpg,Easy,Medium
/mnt/mahdipou/test/FacesInThings/images/000000724.jpg,Easy,Medium
/mnt/mahdipou/test/FacesInThings/images/000000682.jpg,Easy,Medium
